A timeline of the main frame has been computed and events from the date of interest (19/4/2017) have been isolated. Here are the events in a CSV format (; is the separator):

Timestamp;macb;Source Name;Type;Short Description
2017-04-19 01:36:14;....;WEBHIST;Expiration Time;Location: http://images.sport1.de/imagix/svg/f36ef9ec-2c82-11e6-a9b7-f80f41fc...
2017-04-19 01:41:24;....;WEBHIST;Expiration Time;Location: http://images.sport1.de/imagix/svg/7a449e93-2c84-11e6-a9b7-f80f41fc...
2017-04-19 07:06:28;....;WEBHIST;Expiration Time;Location: http://img-s-msn-com.akamaized.net/tenant/amp/entityid/BBzPiHF.img?...
2017-04-19 09:03:14;....;WEBHIST;Expiration Time;Location: http://assets.sport1.de/bundles/sport1portal/css/desktop_style.min.css
2017-04-19 09:06:36;....;WEBHIST;Expiration Time;Location: http://assets.sport1.de/bundles/sport1portal/js/webpack/tools
2017-04-19 09:07:32;....;WEBHIST;Expiration Time;Location: http://assets.sport1.de/bundles/sport1portal/js/webpack/vendor.js
2017-04-19 09:08:04;....;WEBHIST;Expiration Time;Location: http://assets.sport1.de/bundles/sport1portal/js/webpack/my_ad_integ...
2017-04-19 09:46:20;....;WEBHIST;Expiration Time;Location: http://images.sport1.de/imagix/svg/25c2e49c-2d85-11e6-a9b7-f80f41fc...
2017-04-19 10:57:12;....;WEBHIST;Expiration Time;Location: http://images.sport1.de/imagix/svg/8e666c03-2c01-11e6-a9b7-f80f41fc...
2017-04-19 16:12:22;....;WEBHIST;Expiration Time;Location: Cookie:administrator@www.sport1.de/
2017-04-19 17:01:02;....;WEBHIST;Expiration Time;Location: http://img-s-msn-com.akamaized.net/tenant/amp/entityid/BB8MIiC.img?...
2017-04-19 17:12:40;m...;FILE;Content Modification Time;Name: OUT-OF~1.DOC Origin: Out-of-date-GmbH secrects.lnk
2017-04-19 17:12:40;m...;LNK;Content Modification Time;C:\Documents and Settings\Administrator\Desktop\Out-of-date-GmbH secrects.docx
2017-04-19 17:13:15;m...;REG;Content Modification Time;[\ControlSet001\Enum\PCI\VEN_106B&DEV_003F&SUBSYS_00000000&REV_00\3&267a616a&...
2017-04-19 17:13:15;m...;REG;Content Modification Time;[\ControlSet001\Services\usbohci] DisplayName: Microsoft USB Open Host Contro...
2017-04-19 17:13:15;m...;REG;Content Modification Time;[\ControlSet001\Services\usbohci] DisplayName: [REG_SZ] Microsoft USB Open Ho...
2017-04-19 17:13:15;m...;REG;Content Modification Time;[\ControlSet002\Enum\PCI\VEN_106B&DEV_003F&SUBSYS_00000000&REV_00\3&267a616a&...
2017-04-19 17:13:15;m...;REG;Content Modification Time;[\ControlSet002\Services\usbohci] DisplayName: Microsoft USB Open Host Contro...
2017-04-19 17:13:15;m...;REG;Content Modification Time;[\ControlSet002\Services\usbohci] DisplayName: [REG_SZ] Microsoft USB Open Ho...
2017-04-19 17:13:17;.a..;FILE;atime;/Documents and Settings/LocalService/Cookies
2017-04-19 17:13:17;.a..;LOG;Last Time Executed;NTOSBOOT was run 3 time(s)
2017-04-19 17:13:19;...b;EVT;Creation Time;[6009 / 0x1779] Strings: [u'5.01.'  u'2600'  u'Service Pack 1'  u'Uniprocesso...
2017-04-19 17:13:19;m...;EVT;Content Modification Time;[6009 / 0x1779] Strings: [u'5.01.'  u'2600'  u'Service Pack 1'  u'Uniprocesso...
2017-04-19 17:13:19;...b;EVT;Creation Time;[6005 / 0x1775]
2017-04-19 17:13:19;m...;EVT;Content Modification Time;[6005 / 0x1775]
2017-04-19 17:13:19;m...;REG;Content Modification Time;[\ControlSet001\Control\DeviceClasses\{f18a0e88-c30c-11d0-8815-00a0c906bed8}\...
2017-04-19 17:13:19;m...;REG;Content Modification Time;[\ControlSet001\Control\DeviceClasses\{f18a0e88-c30c-11d0-8815-00a0c906bed8}\...
2017-04-19 17:13:19;m...;REG;Content Modification Time;[\ControlSet001\Control\Session Manager\Memory Management\PrefetchParameters]...
2017-04-19 17:13:19;.a..;REG;Last Connection Time;[\ControlSet001\Enum\USB] serial: 4&24d6eb65&0 subkey_name: ROOT_HUB
2017-04-19 17:13:19;m...;REG;Content Modification Time;[\ControlSet001\Enum\USB\ROOT_HUB\4&24d6eb65&0] Capabilities: [REG_DWORD_LE] ...
2017-04-19 17:13:19;m...;REG;Content Modification Time;[\ControlSet001\Services\usbhub] DisplayName: USB2 Enabled Hub ErrorControl: ...
2017-04-19 17:13:19;m...;REG;Content Modification Time;[\ControlSet001\Services\usbhub] DisplayName: [REG_SZ] USB2 Enabled Hub Error...
2017-04-19 17:13:19;m...;REG;Content Modification Time;[\ControlSet002\Control\DeviceClasses\{f18a0e88-c30c-11d0-8815-00a0c906bed8}\...
2017-04-19 17:13:19;m...;REG;Content Modification Time;[\ControlSet002\Control\DeviceClasses\{f18a0e88-c30c-11d0-8815-00a0c906bed8}\...
2017-04-19 17:13:19;m...;REG;Content Modification Time;[\ControlSet002\Control\Session Manager\Memory Management\PrefetchParameters]...
2017-04-19 17:13:19;m...;REG;Content Modification Time;[\ControlSet002\Enum\USB\ROOT_HUB\4&24d6eb65&0] Capabilities: [REG_DWORD_LE] ...
2017-04-19 17:13:19;m...;REG;Content Modification Time;[\ControlSet002\Services\usbhub] DisplayName: USB2 Enabled Hub ErrorControl: ...
2017-04-19 17:13:19;m...;REG;Content Modification Time;[\ControlSet002\Services\usbhub] DisplayName: [REG_SZ] USB2 Enabled Hub Error...
2017-04-19 17:13:20;m...;REG;Content Modification Time;[\ControlSet001\Control\DeviceClasses\{a5dcbf10-6530-11d2-901f-00c04fb951ed}\...
2017-04-19 17:13:20;m...;REG;Content Modification Time;[\ControlSet001\Control\DeviceClasses\{a5dcbf10-6530-11d2-901f-00c04fb951ed}\...
2017-04-19 17:13:20;.a..;REG;Last Connection Time;[\ControlSet001\Enum\USB] product: Pid_0021 serial: 5&18f54cb7&0&1 subkey_nam...
2017-04-19 17:13:20;m...;REG;Content Modification Time;[\ControlSet001\Enum\USB\Vid_80ee&Pid_0021\5&18f54cb7&0&1] Capabilities: [REG...
2017-04-19 17:13:20;m...;REG;Content Modification Time;[\ControlSet002\Control\DeviceClasses\{a5dcbf10-6530-11d2-901f-00c04fb951ed}\...
2017-04-19 17:13:20;m...;REG;Content Modification Time;[\ControlSet002\Control\DeviceClasses\{a5dcbf10-6530-11d2-901f-00c04fb951ed}\...
2017-04-19 17:13:20;m...;REG;Content Modification Time;[\ControlSet002\Enum\USB\Vid_80ee&Pid_0021\5&18f54cb7&0&1] Capabilities: [REG...
2017-04-19 17:13:20;m...;FILE;mtime;/WINDOWS/system32/config/systemprofile/Cookies/index.dat
2017-04-19 17:13:28;..c.;FILE;ctime;/Documents and Settings/LocalService/Cookies
2017-04-19 17:13:28;..c.;FILE;ctime;/Documents and Settings/LocalService/Cookies/index.dat
2017-04-19 17:13:28;m...;FILE;mtime;/Documents and Settings/LocalService/Cookies/index.dat
2017-04-19 17:14:16;m...;REG;Content Modification Time;[\ControlSet001\Control\DeviceClasses\{53f56307-b6bf-11d0-94f2-00a0c91efb8b}\...
2017-04-19 17:14:16;m...;REG;Content Modification Time;[\ControlSet001\Control\DeviceClasses\{53f56307-b6bf-11d0-94f2-00a0c91efb8b}\...
2017-04-19 17:14:16;m...;REG;Content Modification Time;[\ControlSet001\Control\DeviceClasses\{53f5630a-b6bf-11d0-94f2-00a0c91efb8b}\...
2017-04-19 17:14:16;m...;REG;Content Modification Time;[\ControlSet001\Control\DeviceClasses\{53f5630a-b6bf-11d0-94f2-00a0c91efb8b}\...
2017-04-19 17:14:16;m...;REG;Content Modification Time;[\ControlSet001\Control\DeviceClasses\{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}\...
